X1,X2,X3
idea,https://www.flaticon.com/free-icon/idea_3073363,\r\n\r\n![idea](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/idea.png =250x250)
time-management,https://www.flaticon.com/free-icon/time-management_3442086?term=duration&page=1&position=26,\r\n\r\n![time-management](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/time-management.png =250x250)
integration,https://www.flaticon.com/free-icon/integration_2274915?term=integrate&page=1&position=15,\r\n\r\n![integration](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/integration.png =250x250)
helping,https://www.flaticon.com/free-icon/helping_2843396,\r\n\r\n![helping](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/helping.png =250x250)
encourage,https://www.flaticon.com/free-icon/satisfaction_2618053?term=thumbs%20up&page=1&position=50,\r\n\r\n![encourage](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/encourage.png =250x250)
lighthouse,https://www.flaticon.com/free-icon/lighthouse_422942?term=lighthouse&page=1&position=65,\r\n\r\n![lighthouse](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/lighthouse.png =250x250)
remember,https://www.flaticon.com/free-icon/remember_1444135?term=remember&page=1&position=6,\r\n\r\n![remember](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/remember.png =250x250)
web-browser,https://www.flaticon.com/free-icon/web-browser_3616758?term=settings&page=2&position=68,\r\n\r\n![web-browser](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/web-browser.png =250x250)
megaphone,https://www.flaticon.com/free-icon/megaphone_3320352?term=action&page=1&position=38,\r\n\r\n![megaphone](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/megaphone.png =250x250)
calculator,https://www.flaticon.com/free-icon/calculator_897406?term=math&page=1&position=4,\r\n\r\n![calculator](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/calculator.png =250x250)
chronometer,https://www.flaticon.com/free-icon/chronometer_850960?term=timer&page=1&position=2,\r\n\r\n![chronometer](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/chronometer.png =250x250)
healthcare,https://www.flaticon.com/free-icon/healthcare_3063124,\r\n\r\n![healthcare](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/healthcare.png =250x250)
sneeze,https://www.flaticon.com/free-icon/sneeze_2038338,\r\n\r\n![sneeze](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/sneeze.png =250x250)
diarrhea,https://www.flaticon.com/free-icon/diarrhea_2038033,\r\n\r\n![diarrhea](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/diarrhea.png =250x250)
joint,https://www.flaticon.com/free-icon/joint_2038178,\r\n\r\n![joint](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/joint.png =250x250)
question-mark,https://www.flaticon.com/free-icon/question-mark_2333259?term=question%20mark&page=1&position=1,\r\n\r\n![question-mark](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/question-mark.png =250x250)
productivity,https://www.flaticon.com/free-icon/productivity_3002612?term=motivate&page=1&position=78,\r\n\r\n![productivity](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/productivity.png =250x250)
book,https://www.flaticon.com/free-icon/book_2599249?term=open%20book&page=1&position=49,\r\n\r\n![book](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/book.png =250x250)
half-moon,https://www.flaticon.com/free-icon/half-moon_1347705?term=moon%20zzz&page=1&position=23,\r\n\r\n![half-moon](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/half-moon.png =250x250)
fatigue,https://www.flaticon.com/free-icon/fatigue_2038101,\r\n\r\n![fatigue](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/fatigue.png =250x250)
insomnia,https://www.flaticon.com/free-icon/insomnia_2038332,\r\n\r\n![insomnia](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/insomnia.png =250x250)
fluid,https://www.flaticon.com/free-icon/fluid_2037143?term=water&page=3&position=36,\r\n\r\n![fluid](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/fluid.png =250x250)
ghost,https://www.flaticon.com/free-icon/ghost_2332726?term=scary&page=1&position=3,\r\n\r\n![ghost](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/ghost.png =250x250)
night,https://www.flaticon.com/free-icon/night_3135236?term=sleep%20time&page=1&position=18,\r\n\r\n![night](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/night.png =250x250)
attitude,https://www.flaticon.com/free-icon/attitude_993401?term=positive%20negative&page=1&position=33,\r\n\r\n![attitude](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/attitude.png =250x250)
detoxification,https://www.flaticon.com/free-icon/detoxification_2869521?term=positive%20negative&page=1&position=7,\r\n\r\n![detoxification](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/detoxification.png =250x250)
ok,https://www.flaticon.com/free-icon/ok_2165782?term=ok&page=1&position=24,\r\n\r\n![ok](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/ok.png =250x250)
fast,https://www.flaticon.com/free-icon/fast_834028?term=fast&page=1&position=75,\r\n\r\n![fast](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/fast.png =250x250)
snail,https://www.flaticon.com/free-icon/snail_1864561?term=slow&page=1&position=31,\r\n\r\n![snail](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/snail.png =250x250)
education,https://www.flaticon.com/free-icon/education_2802800?term=book%20apple&page=1&position=41,\r\n\r\n![education](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/education.png =250x250)
no-touch,https://www.flaticon.com/free-icon/no-touch_2949820?term=no&page=1&position=19,\r\n\r\n![no-touch](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/no-touch.png =250x250)
calendar,https://www.flaticon.com/free-icon/calendar_2738169?term=calendar&page=2&position=5,\r\n\r\n![calendar](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/calendar.png =250x250)
medication,https://www.flaticon.com/free-icon/medication_2621577?term=sick&page=1&position=39,\r\n\r\n![medication](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/medication.png =250x250)
tiredness,https://www.flaticon.com/free-icon/tiredness_2927749?term=tired&page=1&position=1,\r\n\r\n![tiredness](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/tiredness.png =250x250)
crisis-management,https://www.flaticon.com/free-icon/crisis-management_2471981?term=problem&page=1&position=11,\r\n\r\n![crisis-management](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/crisis-management.png =250x250)
beach,https://www.flaticon.com/free-icon/beach_2535356?term=vacation&page=1&position=4,\r\n\r\n![beach](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/beach.png =250x250)
hourglass,https://www.flaticon.com/free-icon/hourglass_3588730?term=hourglass&page=1&position=2,\r\n\r\n![hourglass](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/hourglass.png =250x250)
neural,https://www.flaticon.com/free-icon/neural_2103633?term=connect&page=1&position=33,\r\n\r\n![neural](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/neural.png =250x250)
kindergarten,https://www.flaticon.com/free-icon/kindergarten_3094248?term=school&page=1&position=76,\r\n\r\n![kindergarten](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/kindergarten.png =250x250)
class,https://www.flaticon.com/free-icon/class_1754263?term=class&page=1&position=17,\r\n\r\n![class](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/class.png =250x250)
home-education,https://www.flaticon.com/free-icon/home-education_2038252?term=home&page=1&position=9,\r\n\r\n![home-education](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/home-education.png =250x250)
communication,https://www.flaticon.com/free-icon/communication_1754090,\r\n\r\n![communication](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/communication.png =250x250)
online-course,https://www.flaticon.com/free-icon/online-course_1754398,\r\n\r\n![online-course](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/online-course.png =250x250)
school-bus,https://www.flaticon.com/free-icon/school-bus_2132696?term=public%20school&page=1&position=5,\r\n\r\n![school-bus](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/school-bus.png =250x250)
uniform,https://www.flaticon.com/free-icon/uniform_2132698?term=school&page=1&position=50,\r\n\r\n![uniform](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/uniform.png =250x250)
teacher,https://www.flaticon.com/free-icon/teacher_3603993,\r\n\r\n![teacher](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/teacher.png =250x250)
voice,https://www.flaticon.com/free-icon/voice_2258910,\r\n\r\n![voice](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/voice.png =250x250)
blackboard,https://www.flaticon.com/free-icon/blackboard_183728?term=classroom&page=2&position=86,\r\n\r\n![blackboard](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/blackboard.png =250x250)
question,https://www.flaticon.com/free-icon/question_189665?term=question%20mark&page=1&position=34,\r\n\r\n![question](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/question.png =250x250)
milometer,https://www.flaticon.com/free-icon/milometer_1211701?term=meter&page=2&position=2,\r\n\r\n![milometer](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/milometer.png =250x250)
happy,https://www.flaticon.com/free-icon/happy_742940?term=happy&page=1&position=25,\r\n\r\n![happy](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/happy.png =250x250)
hard,https://www.flaticon.com/free-icon/sick_136338,\r\n\r\n![hard](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/hard.png =250x250)
tablet,https://www.flaticon.com/free-icon/tablet_1093460?term=tablet&page=1&position=18,\r\n\r\n![tablet](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/tablet.png =250x250)
wifi,https://www.flaticon.com/free-icon/wifi_2227979?term=wifi&page=1&position=3,\r\n\r\n![wifi](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/wifi.png =250x250)
stop,https://www.flaticon.com/free-icon/stop_605777?term=stop&page=1&position=18,\r\n\r\n![stop](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/stop.png =250x250)
mouse,https://www.flaticon.com/free-icon/mouse_908596?term=mouse&page=1&position=7,\r\n\r\n![mouse](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/mouse.png =250x250)
ice,https://www.flaticon.com/free-icon/ice_2231188?term=ice&page=1&position=3,\r\n\r\n![ice](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/ice.png =250x250)
mute,https://www.flaticon.com/free-icon/mute_953987?term=audio&page=1&position=61,\r\n\r\n![mute](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/mute.png =250x250)
question-yellow,https://www.flaticon.com/free-icon/question_1828833?term=question&page=1&position=19,\r\n\r\n![question-yellow](https://raw.githubusercontent.com/ChildMindInstitute/GraphoLearn_EMA_applet/master/images/question-yellow.png =250x250)
